ticker,side,entry_c,fair_for_side,spread_c,baseline_c,mfe_c,mae_c,mfe_at_s,mae_at_s,final_bid_c,settled_yes,btc_dist_pct,closed_full,closed_half,closed_min,directional
KXBTC15M-26APR212015-15,no,47,59,12,51,57,1,180,720,1,1,0.0381,0,1,1,1
KXBTC15M-26APR211945-45,yes,53,70,18,53,100,53,240,0,100,1,0.0693,1,1,1,1
KXBTC15M-26APR211930-30,yes,58,66,13,58,93,51,540,420,93,1,0.0654,1,1,1,1
KXBTC15M-26APR211915-15,yes,67,73,7,67,99,67,420,0,99,1,0.1134,1,1,1,1
KXBTC15M-26APR211900-00,no,56,64,8,44,72,0,180,720,0,1,0.0620,1,1,1,1
KXBTC15M-26APR211845-45,no,49,78,29,45,55,0,60,660,0,1,0.0867,0,0,0,1
KXBTC15M-26APR211830-30,no,61,90,29,33,100,60,660,0,100,0,0.1369,1,1,1,1
KXBTC15M-26APR211815-15,no,33,64,31,49,76,14,420,660,14,1,0.0464,1,1,1,1
KXBTC15M-26APR211800-00,yes,59,71,12,59,99,59,180,0,99,1,0.0531,1,1,1,1
KXBTC15M-26APR211745-45,no,42,60,18,57,99,13,720,540,99,0,0.0372,1,1,1,1
KXBTC15M-26APR211730-30,no,47,59,12,51,83,4,720,660,83,0,0.0419,1,1,1,1
KXBTC15M-26APR211715-15,no,46,62,16,54,100,45,600,0,100,0,0.1051,1,1,1,1
KXBTC15M-26APR211700-00,yes,26,43,17,32,100,26,720,0,100,1,0.0596,1,1,1,1
KXBTC15M-26APR211630-30,yes,40,53,6,40,100,39,660,180,100,1,0.0261,1,1,1,1
KXBTC15M-26APR211615-15,no,18,33,15,73,57,0,360,540,0,1,0.1342,1,1,1,1
KXBTC15M-26APR211600-00,yes,51,68,17,58,99,51,720,0,99,1,0.1476,1,1,1,1
KXBTC15M-26APR211530-30,yes,33,43,10,35,100,33,540,0,100,1,0.0371,1,1,1,1
KXBTC15M-26APR211500-00,no,45,67,21,55,98,1,420,720,1,1,0.0926,1,1,1,1
KXBTC15M-26APR211445-45,no,20,46,26,70,23,0,60,420,0,1,0.0216,0,0,0,1
KXBTC15M-26APR211430-30,no,50,62,3,50,100,50,720,0,100,0,0.1087,1,1,1,1
KXBTC15M-26APR211415-15,no,34,45,11,63,49,13,540,720,13,1,0.0467,1,1,1,1
KXBTC15M-26APR211345-45,no,48,53,2,52,51,0,240,600,0,1,0.0257,0,0,0,1
KXBTC15M-26APR211315-15,no,55,66,3,45,100,55,600,0,100,0,0.1001,1,1,1,1
KXBTC15M-26APR211300-00,no,33,44,11,67,96,15,720,180,96,0,0.0385,1,1,1,1
KXBTC15M-26APR211245-45,yes,61,68,7,61,99,60,600,0,86,1,0.1006,1,1,1,1
KXBTC15M-26APR211230-30,yes,41,54,1,41,84,10,480,600,10,0,0.0237,1,1,1,1
KXBTC15M-26APR211215-15,no,25,43,18,71,37,0,60,420,0,1,0.0356,0,1,1,1
KXBTC15M-26APR211200-00,yes,41,52,11,43,99,20,720,540,99,1,0.0109,1,1,1,1
KXBTC15M-26APR211145-45,no,48,62,10,52,71,0,0,420,0,1,0.0763,1,1,1,1
KXBTC15M-26APR211130-30,yes,57,70,7,57,87,1,120,480,1,0,0.1381,1,1,1,1
KXBTC15M-26APR211115-15,no,44,56,6,56,74,7,120,720,7,1,0.0457,1,1,1,1
KXBTC15M-26APR211015-15,no,57,68,0,43,98,53,480,240,98,0,0.1276,1,1,1,1
KXBTC15M-26APR210945-45,no,64,78,17,36,94,0,0,120,0,1,0.0720,1,1,1,1
KXBTC15M-26APR210930-30,yes,50,58,1,50,93,50,480,0,93,1,0.0381,1,1,1,1
KXBTC15M-26APR210915-15,no,42,52,4,58,79,42,480,0,75,0,0.0106,1,1,1,1
KXBTC15M-26APR210900-00,no,33,48,15,62,58,0,180,660,0,1,0.0143,1,1,1,1
KXBTC15M-26APR210845-45,yes,39,56,17,41,87,0,300,540,0,0,0.0226,1,1,1,1
KXBTC15M-26APR210830-30,no,59,65,3,41,62,0,60,720,0,1,0.0793,0,0,0,1
KXBTC15M-26APR210815-15,no,41,56,15,51,100,40,660,0,100,0,0.0298,1,1,1,1
KXBTC15M-26APR210800-00,no,51,59,3,49,90,41,600,300,44,0,0.0591,1,1,1,1
KXBTC15M-26APR210745-45,yes,45,52,7,46,47,0,60,720,0,0,0.0131,0,0,0,1
KXBTC15M-26APR210730-30,no,47,62,15,46,47,0,0,660,0,1,0.0683,0,0,0,0
KXBTC15M-26APR210715-15,no,66,74,4,34,100,66,480,0,100,0,0.1129,1,1,1,1
KXBTC15M-26APR210700-00,yes,70,85,10,70,100,70,660,0,100,1,0.1389,1,1,1,1
KXBTC15M-26APR210645-45,no,42,57,15,57,82,2,660,720,2,1,0.0236,1,1,1,1
KXBTC15M-26APR210630-30,yes,33,73,2,33,100,33,660,0,100,1,0.0996,1,1,1,1
KXBTC15M-26APR210615-15,yes,54,62,4,54,99,54,720,0,99,1,0.0511,1,1,1,1
KXBTC15M-26APR210600-00,yes,46,58,22,46,100,46,300,0,100,1,0.0266,1,1,1,1
KXBTC15M-26APR210545-45,no,50,64,5,50,72,4,60,540,4,1,0.1235,1,1,1,1
