ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26MAR290130-30,BB_PURE_MEANREV,T600,no,29,66636.12,66656.61,0,1,71.0,2.88,68.12
KXBTC15M-26MAR282345-45,BB_PURE_MEANREV,T600,yes,22,66965.56,66939.58,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR282000-00,BB_PURE_MEANREV,T600,yes,10,66393.38,66376.51,0,0,-10.0,1.26,-11.26
KXBTC15M-26MAR281500-00,BB_PURE_MEANREV,T600,yes,23,66909.22,66890.92,0,0,-23.0,2.48,-25.48
KXBTC15M-26MAR281430-30,BB_PURE_MEANREV,T600,yes,12,66908.42,66890.70,0,0,-12.0,1.48,-13.48
KXBTC15M-26MAR281200-00,BB_PURE_MEANREV,T600,yes,17,67005.75,67005.01,0,0,-17.0,1.98,-18.98
KXBTC15M-26MAR280900-00,BB_PURE_MEANREV,T600,no,6,66343.73,66325.00,1,0,-6.0,0.79,-6.79
KXBTC15M-26MAR272245-45,BB_PURE_MEANREV,T600,yes,15,66013.27,66008.95,0,0,-15.0,1.79,-16.79
KXBTC15M-26MAR271815-15,BB_PURE_MEANREV,T600,yes,13,65995.85,66013.81,0,0,-13.0,1.58,-14.58
KXBTC15M-26MAR271615-15,BB_PURE_MEANREV,T600,yes,19,66063.73,66046.40,0,0,-19.0,2.15,-21.15
KXBTC15M-26MAR271345-45,BB_PURE_MEANREV,T600,yes,37,65874.35,65852.90,0,0,-37.0,3.26,-40.26
KXBTC15M-26MAR270815-15,BB_PURE_MEANREV,T600,yes,48,66693.74,66676.03,0,0,-48.0,3.49,-51.49
KXBTC15M-26MAR270715-15,BB_PURE_MEANREV,T600,yes,20,66492.69,66468.77,1,1,80.0,2.24,77.76
KXBTC15M-26MAR270200-00,BB_PURE_MEANREV,T600,yes,38,68602.38,68577.71,1,1,62.0,3.30,58.70
KXBTC15M-26MAR270045-45,BB_PURE_MEANREV,T600,no,10,68510.38,68492.39,1,0,-10.0,1.26,-11.26
KXBTC15M-26MAR261630-30,BB_PURE_MEANREV,T600,no,40,69217.76,69206.85,0,1,60.0,3.36,56.64
KXBTC15M-26MAR261615-15,BB_PURE_MEANREV,T600,yes,13,68542.48,68534.76,1,1,87.0,1.58,85.42
KXBTC15M-26MAR261230-30,BB_PURE_MEANREV,T600,no,33,68985.38,68964.88,0,1,67.0,3.10,63.90
